Epoch,LearningRate,TrainLoss,ValiLoss,TestLoss,MAELoss,MAPELoss,TrainCG,TestCG,TestCGI,ValiCG,ValiCGI
1,8.000000000000005e-06,0.011555022133218708,0.09811161456946874,0.16505658450495764,0.34478709126055995,0.19582153900112662,[0.49437249 0.49013259 0.49263799 0.49730188 0.49745606],[0.46871412 0.47689437 0.46799656 0.46268657 0.46584386],0.0,[0.50303235 0.49898922 0.5        0.48989218 0.49022911],0.0
2,8.000000000000005e-06,0.012194777525234912,0.11074450978211622,0.14317881775775404,0.31936583185331074,0.1807765080759261,[0.48523743 0.48816682 0.48781992 0.4861625  0.49001696],[0.47101033 0.47703789 0.47301952 0.46584386 0.46670494],0.0,[0.49831536 0.49359838 0.49696765 0.48551213 0.48382749],0.0
3,8.000000000000005e-06,0.01464013776340015,0.10718294171377328,0.14941322780610208,0.3266892561156529,0.18518912047789304,[0.48377274 0.48882208 0.48870644 0.49017114 0.48855227],[0.46971871 0.47660735 0.47201493 0.46498278 0.46828358],0.0,[0.50067385 0.49359838 0.49764151 0.4851752  0.48921833],0.0
4,8.000000000000005e-06,0.01333700947907977,0.15537631462737314,0.21018293451148393,0.3843714490973409,0.21901252945450944,[0.48758865 0.48882208 0.48978569 0.48631668 0.48851372],[0.46943169 0.47746843 0.47144087 0.46254305 0.46383467],0.0,[0.5111186  0.50202156 0.50067385 0.49663073 0.48854447],0.0
5,6.400000000000004e-06,0.013739668010966257,0.13164727366662765,0.09972049090396129,0.26487085146639155,0.1506987129488851,[0.49098057 0.48758865 0.492214   0.48793555 0.48905335],[0.47689437 0.48234788 0.47947761 0.47258898 0.47373708],0.0,[0.50943396 0.50471698 0.50438005 0.50572776 0.50572776],0.0
6,5.120000000000004e-06,0.013064168728213971,0.13812440467058276,0.07379878643242496,0.2228828919420594,0.12558972085082964,[0.48500617 0.49198273 0.48986278 0.49063367 0.48535307],[0.4771814  0.48234788 0.48076923 0.47316303 0.47488519],0.0,[0.50909704 0.50134771 0.50977089 0.49865229 0.49898922],0.0
7,4.096000000000004e-06,0.011551616971112209,0.07928037741034391,0.02889326623529167,0.14285842867768087,0.08174507457727671,[0.48805119 0.49653099 0.49414123 0.48982424 0.49090348],[0.46943169 0.47832951 0.47459816 0.46828358 0.47115385],0.0,[0.50876011 0.49898922 0.50404313 0.49292453 0.48921833],0.0
8,3.2768000000000027e-06,0.010095829641753762,0.05736111197732417,0.01807839978353912,0.10985251258680197,0.06262675540355471,[0.48662504 0.49267653 0.49028677 0.48924607 0.48438945],[0.4738806  0.48062572 0.47962113 0.47301952 0.47617681],0.0,[0.50909704 0.50471698 0.50842318 0.49865229 0.49494609],0.0
9,2.6214400000000024e-06,0.009367459406588988,0.0366240667412489,0.014050129710709887,0.09542805631137127,0.05388900606497913,[0.48816682 0.49340888 0.49148165 0.49144311 0.48943879],[0.47588978 0.48249139 0.47990815 0.47330654 0.47488519],0.0,[0.51246631 0.5111186  0.50909704 0.50202156 0.49663073],0.0
10,2.097152000000002e-06,0.008665434637248195,0.027589449429120637,0.011184585027989665,0.08493864018016684,0.04797024055315667,[0.49240672 0.48997842 0.49475794 0.49155874 0.48708757],[0.47876005 0.48292193 0.47976464 0.47861653 0.47876005],0.0,[0.50404313 0.49898922 0.50269542 0.50202156 0.49595687],0.0
11,1.6777216000000015e-06,0.008585306747718832,0.02314330474518643,0.009275737354672867,0.07711794811282756,0.04361988494042243,[0.4872803  0.49622263 0.49498921 0.49495066 0.49001696],[0.47976464 0.48579219 0.48292193 0.48005166 0.4804822 ],0.0,[0.50572776 0.49865229 0.49696765 0.49393531 0.49393531],0.0
12,1.3421772800000015e-06,0.008570167392586448,0.018945840512445265,0.00797971222308359,0.07154018804110185,0.040538906925047795,[0.49213691 0.49741751 0.49533611 0.49398705 0.49329325],[0.47890356 0.48593571 0.48435706 0.48033869 0.47890356],0.0,[0.50774933 0.49932615 0.49831536 0.49460916 0.5       ],0.0
13,1.0737418240000011e-06,0.008447055133594394,0.01586453498408333,0.006610001994290025,0.06541960389031488,0.0372988695704328,[0.49487357 0.49919056 0.4964539  0.49899784 0.49637681],[0.47947761 0.4902411  0.48493111 0.47847302 0.47517222],0.0,[0.51044474 0.50067385 0.50336927 0.49561995 0.50067385],0.0
14,8.589934592000009e-07,0.008377126926912743,0.013588573804473572,0.005613665655193292,0.06026866111795318,0.034526429431118395,[0.49148165 0.49510484 0.49683935 0.49953747 0.49780296],[0.48033869 0.48794489 0.48579219 0.47904707 0.47488519],0.0,[0.50707547 0.50202156 0.50606469 0.49595687 0.50168464],0.0
15,6.871947673600008e-07,0.008181574926556833,0.011621068361061694,0.004962384085549491,0.05666067012736465,0.03262503943823056,[0.49340888 0.49498921 0.49899784 0.50007709 0.49996146],[0.4814868  0.48665327 0.48550517 0.4793341  0.47689437],0.0,[0.50606469 0.4962938  0.50235849 0.48854447 0.50067385],0.0
16,5.497558138880007e-07,0.008231000354678742,0.00991280919199463,0.004051838275514126,0.051325714990580036,0.029839388500759005,[0.49252236 0.49791859 0.49888221 0.50057817 0.50439408],[0.48507463 0.48880597 0.48794489 0.48249139 0.48163031],0.0,[0.50774933 0.49157682 0.50101078 0.49595687 0.50471698],0.0
17,4.3980465111040057e-07,0.00818564762684278,0.008639666089717713,0.0033741188714094175,0.04677238135254299,0.02747396644657685,[0.49286926 0.50011563 0.50350755 0.50030836 0.50686093],[0.4847876  0.49167623 0.49225029 0.48450057 0.48076923],0.0,[0.50909704 0.49797844 0.50539084 0.49797844 0.50134771],0.0
18,3.518437208883205e-07,0.00816285089106355,0.007961405187261506,0.0029898288386775614,0.04405799991452273,0.026079713409161355,[0.49159729 0.4939485  0.49880512 0.50235122 0.50331483],[0.48493111 0.49311137 0.49095867 0.48593571 0.48292193],0.0,[0.51314016 0.49561995 0.50707547 0.49730458 0.50067385],0.0
19,2.814749767106564e-07,0.008045926415978854,0.007106992858917028,0.002707252125918995,0.04191881700779229,0.024953201415159457,[0.49479648 0.49514339 0.50242831 0.50373882 0.50928924],[0.48349598 0.49253731 0.49196326 0.4880884  0.48607922],0.0,[0.51010782 0.49663073 0.50572776 0.49528302 0.50134771],0.0
20,2.2517998136852513e-07,0.008158449322894041,0.006597208124750581,0.0024850453473365514,0.04012646939793664,0.024027082050351766,[0.49059513 0.49857385 0.50050108 0.5099445  0.50412427],[0.48392652 0.49296785 0.49397245 0.48837543 0.4869403 ],0.0,[0.50808625 0.49898922 0.50404313 0.49865229 0.50067385],0.0
21,1.8014398509482012e-07,0.008060468854184578,0.0062043304890076895,0.002236739130008295,0.0380237289681928,0.022922596769435727,[0.49707061 0.50508788 0.50740056 0.51110083 0.51025285],[0.48421355 0.49555109 0.49612514 0.489093   0.48780138],0.0,[0.50673854 0.49966307 0.5        0.49696765 0.50134771],0.0
22,1.441151880758561e-07,0.008261126084922096,0.005916824826968422,0.002138318919985896,0.037149249474185464,0.022463583664973422,[0.49579864 0.50123343 0.50161887 0.50794018 0.50732347],[0.48320896 0.49268083 0.49712974 0.49009759 0.48880597],0.0,[0.50808625 0.5        0.50235849 0.49932615 0.50640162],0.0
23,1.1529215046068489e-07,0.008116926516027953,0.005714765612148247,0.0020161799228140967,0.0360304436584385,0.021886244564195273,[0.49483503 0.49838113 0.50454826 0.50836417 0.50990595],[0.48134328 0.49311137 0.49641217 0.48923651 0.49052813],0.0,[0.50943396 0.5        0.49797844 0.5        0.50774933],0.0
24,9.223372036854792e-08,0.008147246686584175,0.005503428982899029,0.0019456593759195361,0.035386455391937854,0.021544962993303867,[0.49452667 0.49687789 0.50474098 0.51002158 0.51125501],[0.48206085 0.49512055 0.49512055 0.49081515 0.49052813],0.0,[0.50640162 0.50067385 0.49595687 0.49966307 0.50471698],0.0
25,7.378697629483834e-08,0.00789449490229581,0.005481421790315622,0.0019132513152982289,0.035107345279117984,0.02141486691041282,[0.50026981 0.50169596 0.51056121 0.50859544 0.51225717],[0.48062572 0.49368542 0.49540758 0.48851894 0.4902411 ],0.0,[0.50707547 0.49865229 0.49460916 0.49831536 0.50303235],0.0
26,5.902958103587067e-08,0.008106637057511273,0.005324044955279601,0.0018622569893771697,0.034614153850308256,0.021151662639119842,[0.4996531  0.50489516 0.51067684 0.50909652 0.5162658 ],[0.4814868  0.49397245 0.49583812 0.49067164 0.49196326],0.0,[0.50774933 0.50101078 0.49359838 0.49966307 0.50572776],0.0
27,4.722366482869654e-08,0.008089896349424808,0.005366027687260168,0.0018439041579985137,0.034454768224048346,0.021077869207374793,[0.49976873 0.50343047 0.51356768 0.51480111 0.51622726],[0.48163031 0.49354191 0.49483352 0.48966705 0.48995408],0.0,[0.50842318 0.50101078 0.49494609 0.49663073 0.50539084],0.0
28,3.777893186295724e-08,0.008003006022078053,0.005278999644909866,0.001825446688050461,0.03428004867660286,0.020989144585030123,[0.49182855 0.50165742 0.51125501 0.51395313 0.51395313],[0.47990815 0.49354191 0.49540758 0.48952354 0.4880884 ],0.0,[0.50909704 0.49898922 0.49359838 0.49460916 0.50404313],0.0
29,3.022314549036579e-08,0.008045025214691017,0.00522762056727584,0.001804683743444916,0.03408344433991502,0.020884449832033403,[0.4968008  0.49811132 0.50790163 0.51079248 0.51688252],[0.48206085 0.4945465  0.49698622 0.48894948 0.48938002],0.0,[0.50707547 0.50067385 0.49393531 0.49595687 0.50202156],0.0
30,2.4178516392292634e-08,0.008051412585208207,0.005281544498838183,0.0018152121341925512,0.03420033505553728,0.02094748993786469,[0.50111779 0.50188868 0.51356768 0.51121647 0.51564909],[0.48119977 0.49382893 0.49469001 0.49081515 0.48966705],0.0,[0.50876011 0.49966307 0.49393531 0.49696765 0.50269542],0.0
31,1.9342813113834108e-08,0.00802760501289177,0.005249639229710208,0.0017900710519499435,0.03394883729161397,0.02081806564061495,[0.49637681 0.50393154 0.51160191 0.51395313 0.52046716],[0.48091274 0.49397245 0.49655568 0.48952354 0.48880597],0.0,[0.50977089 0.49730458 0.49427224 0.49561995 0.50235849],0.0
32,1.5474250491067285e-08,0.007814428327192341,0.005207060458543136,0.001786613011519101,0.03391237732974105,0.020795767167588453,[0.4993062  0.50246685 0.51113938 0.51264261 0.51368332],[0.48091274 0.49368542 0.4956946  0.49009759 0.48894948],0.0,[0.50909704 0.49865229 0.4925876  0.49595687 0.5037062 ],0.0
33,1.2379400392853831e-08,0.007980170376134813,0.005212600426279282,0.00178530491657052,0.03390909477319337,0.02079514022831015,[0.4968008  0.50582023 0.5106383  0.51749923 0.51819303],[0.48134328 0.49425947 0.49555109 0.48966705 0.48894948],0.0,[0.50808625 0.49966307 0.49326146 0.49696765 0.50303235],0.0
34,9.903520314283065e-09,0.00804431025788973,0.005225507758945795,0.001783491411607981,0.03389487925587579,0.020788889144208865,[0.49757169 0.50200432 0.51048412 0.51175609 0.51615017],[0.48076923 0.49382893 0.49655568 0.48981056 0.48894948],0.0,[0.50943396 0.49966307 0.49561995 0.49595687 0.50168464],0.0
35,7.922816251426451e-09,0.007900538464810255,0.005241795622985205,0.0017986546340998067,0.03405879518959722,0.020873109922393083,[0.49599137 0.50377737 0.5148782  0.51183318 0.51526364],[0.48134328 0.49296785 0.49583812 0.49009759 0.48794489],0.0,[0.50943396 0.49932615 0.49528302 0.49595687 0.50269542],0.0
36,6.3382530011411625e-09,0.008028254505215495,0.005233058940443195,0.0017946119389895452,0.034013515812249685,0.02084879417285958,[0.49552883 0.50404718 0.50936633 0.51441566 0.51641998],[0.48206085 0.49411596 0.49655568 0.48952354 0.48751435],0.0,[0.50943396 0.49932615 0.49460916 0.4962938  0.50269542],0.0
37,5.07060240091293e-09,0.008309101552443627,0.005226600503699912,0.0017894300631608653,0.03396666335114668,0.020826254811538353,[0.50080944 0.50539624 0.51815449 0.51611163 0.52324237],[0.48206085 0.49382893 0.49712974 0.48866246 0.48722732],0.0,[0.50909704 0.49831536 0.49359838 0.49561995 0.50404313],0.0
38,4.056481920730344e-09,0.00811730665705155,0.005225351618219188,0.0017899622951666088,0.03396815513838061,0.020826354413266572,[0.49734043 0.50177305 0.5067453  0.51460839 0.51985045],[0.48091274 0.49382893 0.49583812 0.48938002 0.48765786],0.0,[0.51280323 0.49831536 0.49326146 0.49427224 0.50202156],0.0
39,3.245185536584275e-09,0.007735582096215227,0.005226313663828811,0.0017902290261393075,0.033975776567751484,0.020828110239204944,[0.4957601  0.50077089 0.51244989 0.5141844  0.51530219],[0.48119977 0.4945465  0.49598163 0.48981056 0.489093  ],0.0,[0.5111186  0.49865229 0.49494609 0.4962938  0.50336927],0.0
40,2.5961484292674205e-09,0.007666872133156958,0.005225335492177005,0.0017916106084837717,0.0339917739739387,0.020835225690096344,[0.49876657 0.50682239 0.51117792 0.51853993 0.52004317],[0.48062572 0.49440299 0.49540758 0.489093   0.4880884 ],0.0,[0.50909704 0.49797844 0.49393531 0.49696765 0.50336927],0.0
41,2.0769187434139366e-09,0.007883696412984564,0.005222863582361551,0.0017912378107958736,0.033988621209782306,0.020836645873887925,[0.49969164 0.50666821 0.51329787 0.51615017 0.51834721],[0.48134328 0.49425947 0.49583812 0.48880597 0.48737084],0.0,[0.51010782 0.50033693 0.49359838 0.49561995 0.50336927],0.0
42,1.6615349947311493e-09,0.008030234495507396,0.005220064234684819,0.001788903846339541,0.03396188165021079,0.020819390602353705,[0.4936016  0.50578168 0.511679   0.51622726 0.51873265],[0.48076923 0.49440299 0.49583812 0.48823192 0.48794489],0.0,[0.50774933 0.49932615 0.49528302 0.49528302 0.50235849],0.0
43,1.3292279957849196e-09,0.00793454583089858,0.005219104229059554,0.0017884000553467568,0.0339561345549696,0.020817602323405616,[0.49949892 0.50312211 0.51422294 0.51692106 0.51668979],[0.48206085 0.49411596 0.49555109 0.48823192 0.48765786],0.0,[0.50977089 0.50033693 0.49393531 0.4962938  0.50336927],0.0
